name,uid,code,shortName,description,formName,domainType,type,numberType,textType,aggregationType,categoryComboUid,url,zeroIsSignificant
MOH 731 Total Known Status_Male,,HV02-29,MOH 731 Total Known Status_Male,Total Known Status_Male,Total Known Status_Male,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Known Exposure_at Penta 1,,HV02-30,MOH 731 Known Exposure_at Penta 1,Known Exposure_at Penta 1,Known Exposure_at Penta 1,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Total Given Penta 1,,HV02-31,MOH 731 Total Given Penta 1,Total Given Penta 1,Total Given Penta 1,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Infant ARV Prophyl_ANC,,HV02-32,MOH 731 Infant ARV Prophyl_ANC,Infant ARV Prophyl_ANC,Infant ARV Prophyl_ANC,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Infant ARV Prophyl_L&D,,HV02-33,MOH 731 Infant ARV Prophyl_L&D,Infant ARV Prophyl_L&D,Infant ARV Prophyl_L&D,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Infant ARV Prophyl<8wks_PNC,,HV02-34,MOH 731 Infant ARV Prophyl<8wks_PNC,Infant ARV Prophyl<8wks_PNC,Infant ARV Prophyl<8wks_PNC,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Total ARV prophylaxis,,HV02-35,MOH 731 Total ARV prophylaxis,Total ARV prophylaxis,Total ARV prophylaxis,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 HEI CTX/DDS start_<2months,,HV02-36,MOH 731 HEI CTX/DDS start_<2months,HEI CTX/DDS start_<2months,HEI CTX/DDS start_<2months,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Initial PCR < 8wks,,HV02-37,MOH 731 Initial PCR < 8wks,Initial PCR < 8wks,Initial PCR < 8wks,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Initial PCR_>8wks -12 mths,,HV02-38,MOH 731 Initial PCR_>8wks -12 mths,Initial PCR_>8wks -12 mths,Initial PCR_>8wks -12 mths,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Initial PCR Test<12mths_Total,,HV02-39,MOH 731 Initial PCR Test<12mths_Total,Initial PCR Test<12mths_Total,Initial PCR Test<12mths_Total,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Positive PCR_< 8wks,,HV02-40,MOH 731 Positive PCR_< 8wks,Positive PCR_< 8wks,Positive PCR_< 8wks,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Positive PCR>8wks _12mths,,HV02-41,MOH 731 Positive PCR>8wks _12mths,Positive PCR>8wks _12mths,Positive PCR>8wks _12mths,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Positive Results<12mths_Total,,HV02-42,MOH 731 Positive Results<12mths_Total,Positive Results<12mths_Total,Positive Results<12mths_Total,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Infected_24mths,,HV02-43,MOH 731 Infected_24mths,Infected_24mths,Infected_24mths,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Uninfected_24mths,,HV02-44,MOH 731 Uninfected_24mths,Uninfected_24mths,Uninfected_24mths,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Unknown_Outcome,,HV02-45,MOH 731 Unknown_Outcome,Unknown_Outcome,Unknown_Outcome,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Net cohort_HEI_24 months,,HV02-46,MOH 731 Net cohort_HEI_24 months,Net cohort_HEI_24 months,Net cohort_HEI_24 months,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Mother-baby pairs_24mths,,HV02-47,MOH 731 Mother-baby pairs_24mths,Mother-baby pairs_24mths,Mother-baby pairs_24mths,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Pair net cohort_24 months,,HV02-48,MOH 731 Pair net cohort_24 months,Pair net cohort_24 months,Pair net cohort_24 months,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 EBF (at 6 months) ,,HV02-49,MOH 731 EBF (at 6 months) ,EBF (at 6 months) ,EBF (at 6 months) ,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 ERF (at 6 months) ,,HV02-50,MOH 731 ERF (at 6 months) ,ERF (at 6 months) ,ERF (at 6 months) ,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 MF (at 6 months),,HV02-51,MOH 731 MF (at 6 months),MF (at 6 months),MF (at 6 months),AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 BF (12 months) ,,HV02-52,MOH 731 BF (12 months) ,BF (12 months) ,BF (12 months) ,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Not BF (12 months),,HV02-53,MOH 731 Not BF (12 months),Not BF (12 months),Not BF (12 months),AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 1st ANC KP adolescents (10-19),,HV02-54,MOH 731 1st ANC KP adolescents (10-19),1st ANC KP adolescents (10-19),1st ANC KP adolescents (10-19),AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Positive result Adolescents_Total,,HV02-55,MOH 731 Positive result Adolescents_Total,Positive result Adolescents_Total,Positive result Adolescents_Total,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Started HAART adolescents_Total,,HV02-56,MOH 731 Started HAART adolescents_Total,Started HAART adolescents_Total,Started HAART adolescents_Total,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Enrolled_<1,,HV03-001,MOH 731 Enrolled_<1,Enrolled_<1,Enrolled_<1,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Enrolled_1-9,,HV03-002,MOH 731 Enrolled_1-9,Enrolled_1-9,Enrolled_1-9,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Enrolled_10-14(M) ,,HV03-003,MOH 731 Enrolled_10-14(M) ,Enrolled_10-14(M) ,Enrolled_10-14(M) ,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Enrolled_15-19(M) ,,HV03-005,MOH 731 Enrolled_15-19(M) ,Enrolled_15-19(M) ,Enrolled_15-19(M) ,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Enrolled_20-24(M) ,,HV03-007,MOH 731 Enrolled_20-24(M) ,Enrolled_20-24(M) ,Enrolled_20-24(M) ,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Enrolled_25+(M) ,,HV03-009,MOH 731 Enrolled_25+(M) ,Enrolled_25+(M) ,Enrolled_25+(M) ,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Enrolled_10-14(F),,HV03-004,MOH 731 Enrolled_10-14(F),Enrolled_10-14(F),Enrolled_10-14(F),AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Enrolled_15-19(F),,HV03-006,MOH 731 Enrolled_15-19(F),Enrolled_15-19(F),Enrolled_15-19(F),AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Enrolled_20-24(F),,HV03-008,MOH 731 Enrolled_20-24(F),Enrolled_20-24(F),Enrolled_20-24(F),AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Enrolled_25+(F),,HV03-010,MOH 731 Enrolled_25+(F),Enrolled_25+(F),Enrolled_25+(F),AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Enrolled in Care_KeyPop,,HV03-012,MOH 731 Enrolled in Care_KeyPop,Enrolled in Care_KeyPop,Enrolled in Care_KeyPop,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 In Care_<1,,HV03-013,MOH 731 In Care_<1,In Care_<1,In Care_<1,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 In Care_1-9,,HV03-014,MOH 731 In Care_1-9,In Care_1-9,In Care_1-9,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 In Care_10-14(M) ,,HV03-015,MOH 731 In Care_10-14(M) ,In Care_10-14(M) ,In Care_10-14(M) ,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 In Care_15-19(M) ,,HV03-017,MOH 731 In Care_15-19(M) ,In Care_15-19(M) ,In Care_15-19(M) ,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 In Care_20-24(M) ,,HV03-019,MOH 731 In Care_20-24(M) ,In Care_20-24(M) ,In Care_20-24(M) ,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 In Care_25+(M) ,,HV03-021,MOH 731 In Care_25+(M) ,In Care_25+(M) ,In Care_25+(M) ,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 In Care_10-14(F),,HV03-016,MOH 731 In Care_10-14(F),In Care_10-14(F),In Care_10-14(F),AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 In Care_15-19(F),,HV03-018,MOH 731 In Care_15-19(F),In Care_15-19(F),In Care_15-19(F),AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 In Care_20-24(F),,HV03-020,MOH 731 In Care_20-24(F),In Care_20-24(F),In Care_20-24(F),AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 In Care_25+(F),,HV03-022,MOH 731 In Care_25+(F),In Care_25+(F),In Care_25+(F),AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 In Care_KeyPop,,HV03-024,MOH 731 In Care_KeyPop,In Care_KeyPop,In Care_KeyPop,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Start ART_<1,,HV03-025,MOH 731 Start ART_<1,Start ART_<1,Start ART_<1,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Start ART_1-9,,HV03-026,MOH 731 Start ART_1-9,Start ART_1-9,Start ART_1-9,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Start ART_10-14(M) ,,HV03-027,MOH 731 Start ART_10-14(M) ,Start ART_10-14(M) ,Start ART_10-14(M) ,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Start ART_15-19(M) ,,HV03-029,MOH 731 Start ART_15-19(M) ,Start ART_15-19(M) ,Start ART_15-19(M) ,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Start ART_20-24(M) ,,HV03-031,MOH 731 Start ART_20-24(M) ,Start ART_20-24(M) ,Start ART_20-24(M) ,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Start ART_25+(M) ,,HV03-033,MOH 731 Start ART_25+(M) ,Start ART_25+(M) ,Start ART_25+(M) ,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Start ART_10-14(F),,HV03-028,MOH 731 Start ART_10-14(F),Start ART_10-14(F),Start ART_10-14(F),AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Start ART_15-19(F),,HV03-030,MOH 731 Start ART_15-19(F),Start ART_15-19(F),Start ART_15-19(F),AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Start ART_20-24(F),,HV03-032,MOH 731 Start ART_20-24(F),Start ART_20-24(F),Start ART_20-24(F),AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Start ART_25+(F),,HV03-034,MOH 731 Start ART_25+(F),Start ART_25+(F),Start ART_25+(F),AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Start ART_TB patient,,HV03-036,MOH 731 Start ART_TB patient,Start ART_TB patient,Start ART_TB patient,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Start ART_Discordant,,HV03-037,MOH 731 Start ART_Discordant,Start ART_Discordant,Start ART_Discordant,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Start ART_KeyPop,,HV03-038,MOH 731 Start ART_KeyPop,Start ART_KeyPop,Start ART_KeyPop,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 On ART_<1,,HV03-039,MOH 731 On ART_<1,On ART_<1,On ART_<1,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 On ART_1-9,,HV03-040,MOH 731 On ART_1-9,On ART_1-9,On ART_1-9,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 On ART_10-14(M) ,,HV03-041,MOH 731 On ART_10-14(M) ,On ART_10-14(M) ,On ART_10-14(M) ,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 On ART_15-19(M) ,,HV03-043,MOH 731 On ART_15-19(M) ,On ART_15-19(M) ,On ART_15-19(M) ,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 On ART_20-24(M) ,,HV03-045,MOH 731 On ART_20-24(M) ,On ART_20-24(M) ,On ART_20-24(M) ,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 On ART_25+(M) ,,HV03-047,MOH 731 On ART_25+(M) ,On ART_25+(M) ,On ART_25+(M) ,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 On ART_10-14(F),,HV03-042,MOH 731 On ART_10-14(F),On ART_10-14(F),On ART_10-14(F),AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 On ART_15-19(F),,HV03-044,MOH 731 On ART_15-19(F),On ART_15-19(F),On ART_15-19(F),AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 On ART_20-24(F),,HV03-046,MOH 731 On ART_20-24(F),On ART_20-24(F),On ART_20-24(F),AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 On ART_25+(F),,HV03-048,MOH 731 On ART_25+(F),On ART_25+(F),On ART_25+(F),AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 On ART_KeyPop,,HV03-050,MOH 731 On ART_KeyPop,On ART_KeyPop,On ART_KeyPop,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 On ART _12mths,,HV03-051,MOH 731 On ART _12mths,On ART _12mths,On ART _12mths,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Net Cohort_12mths ,,HV03-052,MOH 731 Net Cohort_12mths ,Net Cohort_12mths ,Net Cohort_12mths ,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Viral load <1000_12mths,,HV03-053,MOH 731 Viral load <1000_12mths,Viral load <1000_12mths,Viral load <1000_12mths,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Viral load result_12mths,,HV03-054,MOH 731 Viral load result_12mths,Viral load result_12mths,Viral load result_12mths,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Screen for TB_<1 ,,HV03-055,MOH 731 Screen for TB_<1 ,Screen for TB_<1 ,Screen for TB_<1 ,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
